Class,News,News
positive,"International sales rose by 59.8 % to EUR 1,244.4 mn .","International sales increased by 59.8% to 1,244.4 minutes EUR."
neutral,Kalmar Espana generated net sales of some 11.3 mln euro $ 14.8 mln in 2005 .,Kalmar Espana generated net sales of around 11.3 mln Euro $ 14.8 MLN in 2005.
positive,Net sales grew in the period to x20ac 402 million $ 585US million from x20ac 401 million in 2006 .,"Net sales increased during the period to X20AC 402 million $ 585 million, against X20AC 401 million in 2006."
positive,Net sales increased to EUR655m in April to June 2010 from EUR438m a year earlier .,"Net sales increased to 655 million euros in April to June 2010, compared to 438 million euros a year earlier."
positive,"Net sales rose by 25.5 % year-on-year to EUR59 .6 m , as the number of chargers delivered went up by 41 % to 65.9 million pieces .","Net sales increased by 25.5% in annual sliding to 59.6 million euros, as the number of chargers delivered increased by 41% to 65.9 million parts."
positive,"Net sales totaled EUR 93.6 mn , up from EUR 93.2 mn in the corresponding period in 2005 .","Net sales totaled 93.6 mins, against 93.2 MN EUR during the corresponding period in 2005."
positive,"Nokia also noted the average selling price of handsets declined during the period , though its mobile phone profit margin rose to more than 22 percent from 13 percent in the year-ago quarter .","Nokia also noted that the average sale price of the handsets had decreased during the period, although its beneficiary of mobile telephony reached more than 22% compared to 13% in the previous year."
positive,Operating profit increased by 145.1 % to EUR 8.3 mn from EUR 3.4 mn .,Operating profit increased by 145.1% to 8.3 mins compared to 3.4 minutes EUR.
positive,Operating profit margin increased from 11.2 % to 11.7 % .,The operating profit margin increased from 11.2% to 11.7%.
positive,Operating profit rose to EUR 3.11 mn from EUR 1.22 mn in the corresponding period in 2009 .,The operating profit increased to 3.11 minutes of euros against 1.22 MN EUR during the corresponding period in 2009.
positive,Operating profit rose to EUR 5mn from EUR 2.8 mn in the fourth quarter of 2008 .,Operating profit increased to 5 million euros compared to 2.8 minutes in the fourth quarter of 2008.
positive,"Operating profit was EUR 24.5 mn , up from EUR 23.0 mn .","The operating profit was 24.5 minutes EUR, compared to 23.0 minutes."
positive,"Ramirent 's net sales in the second quarterended June 30 were EURO 128.7 million about U.S. $ 163 million , a 3.3-percent increase compared with EURO 124.6 million for thesecond quarter last year .","Net sales in the second quarter of June 30 were 128.7 million euros out of 163 million US dollars, an increase of 3.3% against 124.6 million euros for the second quarter of the year last."
positive,"Revenue grew by 2 percent to x20ac 580 million $ 743 million , from x20ac 569 million .","Income increased by 2% to X20AC 580 million $ 743 million, against X20AC 569 million."
positive,Ruukki announced that it has signed an agreement with Aker Solutions of Norway to supply 24 suction anchors in September 2010 from its Kalajoki unit in Finland .,Ruukki announced that he had signed an agreement with Aker Solutions of Norway to provide 24 aspiration anchors in September 2010 from his Kalajoki unit in Finland.
positive,"Ruukki 's delivery volumes and selling prices showed favourable development and the company 's comparable net sales grew by 50 % year-on-year to EUR647m , CEO Sakari Tamminen said .","Ruukki's delivery volumes and selling prices have shown favorable development and comparable net sales of the company increased by 50% in annual shift to 647 million euros, said CEO Sakari Tamminen."
positive,Sanoma Magazines ' net sales are estimated to grow in 2006 .,Net sales of Sanoma magazines should grow in 2006.
positive,The bank forecasts Finland 's GDP will grow by 2 % in 2010 and in 2011 .,The bank provides that Finland's GDP will increase by 2% in 2010 and 2011.
positive,"The circuit 's overall production rate on a weekly basis is now in excess of an average of 40,000 tonnes per day , with volumes in excess of 50,000 tonnes per day being reached on individual days .","The overall production rate of the circuit on a weekly basis now exceeds an average of 40,000 tonnes per day, a volume greater than 50,000 tonnes per day being reached on individual days."
positive,"The company 's consolidated operating profit amounted to EUR 15.86 mn , up from EUR 4.14 mn year-on-year .","The company's consolidated operating profit amounted to 15.86 mins, compared to 4.14 minutes in annual sliding."
positive,The Department Store Division reported an increase in sales of 4 per cent .,The department store division declared an increase in sales of 4%.
positive,The fair value of the company 's investment properties grew to EUR 2.803 billion at the end of March 2009 from EUR 2.691 million a year ago .,"The fair value of the company's investment properties increased to 2.803 billion euros at the end of March 2009, against 2.691 million euros a year ago."
positive,"The last quarter was the best quarter of 2009 in net sales , and the operating margin rose to 12.2 % .","The last quarter was the best quarter of 2009 in net sales, and the operating margin increased to 12.2%."
positive,"The major breweries increased their domestic beer sales by 4.5 per cent last year , to 256.88 million litres from 245.92 million litres in 2004 .","The main breweries increased their interior beer sales by 4.5% last year, to 256.88 million liters, compared to 245.92 million liters in 2004."
positive,"The transaction doubles Tecnomens workforse , and adds a fourth to their net sales .",The transaction doubles the Tecnumens Workforse and adds a fourth to their net sales.
positive,- Operating profit rose by 26.9 % to EUR 105.8 ( 83.4 ) million .,- Operating profit increased by 26.9% to 105.8 (83.4) million euros.
positive,"`` After this purchase , Cramo will become the second largest rental services provider in the Latvian market .","`` After this purchase, Cramo will become the second largest supplier for Latvian market rental services."
positive,"`` The priority for 2009 was to strengthen the company 's balance sheet and increase cash flow , '' CEO Hannu Krook said .","`` Priority for 2009 was to strengthen the business balance sheet and increase cash flow, '' said CEO Hannu Krook."
positive,`` The purchase of the operations is part of YIT 's strategy to expand its offering of building system services geographically . '',`` The purchase of operations is part of YIT's strategy to geographically extend its supply of systems construction services. ''
positive,21 October 2010 - Finnish fishing tackle company Rapala VMC Corp ( HEL : RAP1V ) said today its net profit rose to EUR18 .9 m for the first nine months of 2010 from EUR15 .1 m for the same period a year earlier .,"October 21, 2010 - Finnish fishing company Rapala VMC Corp (HEL: RAP1V) said today that its net profit had reached 18 to 18 ms from the Euros for the first nine months of 2010 from 15 to 15 meters euros for the same period a year earlier."
neutral,"A structures BIM ( building information modeling ) software from Tekla , a model-based software provider , has been adopted for the construction management and delivery of a university project in Abu Dhabi .","Tekla BIM (BIMS BUILDING Information) structures, a software supplier based on a model, has been adopted for construction management and delivery of a university project in Abu Dhabi."
positive,"According to Finnish Metso Minerals , the value of the company 's orders has gone up to EUR 1.9 bn in 12 months .","According to Finnish Metso minerals, the company's value of orders reached 1.9 billion euros in 12 months."
